"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","OK — un seul ticket → reste inchangé","[CRITIQUE] Tri file d'attente FIFO (ordre des tickets)","2026-04-29","passed","2026-04-29","","","",""
"","1250","[UI-TKT-009] Bouton retour ou navigation presente sur pages protegees","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Navigation et experience utilisateur","ui\ticket.ui.spec.js","",""
"","819","[UI-RDV-002] Page mes-rdv non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Rendez-vous — acces et protection","ui\rendezvous.ui.spec.js","",""
"","","[FILE-003] Ticket ""servi"" → la file avance (le prochain est appelable)","[FILE] Gestion de la file d'attente — invariants métier","2026-04-29","skipped","","","","",""
"","226","OK - Agent marque un RDV comme present - statut en_cours","Agent - Gestion des RDV du jour","2026-04-29","passed","2026-04-29","","","",""
"","0","FAIL - RDV dans 2h - hors fenetre 1h","Regle metier - Fenetres de rappel automatique","2026-04-29","passed","2026-04-29","","Rappel 1h (fenetre 50min-1h)","",""
"","1","OK — créneaux bien séparés","[CRITIQUE] Détection chevauchement de créneaux","2026-04-29","passed","2026-04-29","","","",""
"","276","✅ Citoyen signale un établissement → 200","POST /api/etablissements/:id/signaler — Signalement citoyen","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — 5 personnes avant, 15 min/ticket → 75 min","[CRITIQUE] Calcul temps d'attente estimé","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Citoyen prend un 2e ticket pour le meme service - 400","POST /api/tickets - Prise de ticket","2026-04-29","skipped","","","","",""
"","317","OK - Ticket marque servi - statut = servi","PUT /api/tickets/agent/:id/servi - Ticket servi","2026-04-29","passed","2026-04-29","","","",""
"","3564","✅ [IHM-016] Agent marque ""Présent"" → RDV confirme → en_cours, boutons changent","UI Chrome","2026-04-29","passed","2026-04-29","[AGENT] Workflow RDV — actions sur les rendez-vous","ui\critical-journeys.ui.spec.js","",""
"","1","OK — date simple retourne format YYYY-MM-DD","[CRITIQUE] Formatage date locale (anti-timezone bug)","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Liste creneaux vide - 400","POST /api/rendezvous - Reserver un RDV","2026-04-29","skipped","","","","",""
"","236","FAIL - serviceId manquant - 400","GET /api/rendezvous/creneaux - Creneaux disponibles","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL — mot de passe vide → invalide","[CRITIQUE] Validation mot de passe","2026-04-29","passed","2026-04-29","","","",""
"","238","OK - Admin cree un service avec file - 201","POST /api/services - Creer service","2026-04-29","passed","2026-04-29","","","",""
"","1210","[UI-TKT-006] Page de suivi accessible sans connexion (QR code use case)","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Suivi ticket (affichage public)","ui\ticket.ui.spec.js","",""
"","","FAIL - Sans token - 401","PUT /api/notifications/:id/lire - Marquer comme lue","2026-04-29","skipped","","","","",""
"","521","[UI-DASH-014] Page accueil charge en moins de 5 secondes","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Performance et robustesse","ui\dashboard.ui.spec.js","",""
"","1233","[UI-TKT-004] Interface agent stats non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Ticket / File attente — acces et protection","ui\ticket.ui.spec.js","",""
"","","[EXC-002] Exception ne crée pas de RDV orphelins — les RDV confirmés restent","[EXCEPTION] Fermeture exceptionnelle — gestion des RDV impactés","2026-04-29","skipped","","","","",""
"","","FAIL - Citoyen ne peut pas appeler - 403","POST /api/tickets/agent/appeler - Agent appelle le prochain ticket","2026-04-29","skipped","","","","",""
"","","FAIL - Citoyen ne peut pas modifier - 403","PUT /api/agents/:id - Modifier agent","2026-04-29","skipped","","","","",""
"","","FAIL - Citoyen ne peut pas voir les stats - 403","GET /api/stats/etablissement/:id - Stats detaillees","2026-04-29","skipped","","","","",""
"","","FAIL - Autre citoyen ne peut pas voir le RDV - 404","GET /api/rendezvous/:id - Details RDV","2026-04-29","skipped","","","","",""
"","191","FAIL - Service inexistant - 404","DELETE /api/services/:id - Supprimer service","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Sans token - 401","GET /api/agents - Lister mes agents","2026-04-29","skipped","","","","",""
"","1","OK — 30 min → ""30 min""","[CRITIQUE] Formatage durée créneau","2026-04-29","passed","2026-04-29","","","",""
"","521","[UI-ETAB-005] Page accueil chargee sans erreur","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Page d accueil et navigation","ui\etablissement.ui.spec.js","",""
"","","OK - Admin voit son dashboard - 200 avec tous les compteurs","GET /api/stats/etablissement/:id/dashboard - Dashboard admin","2026-04-29","skipped","","","","",""
"","21","❌ Token invalide → 401","GET /api/auth/me","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL - RDV passe - annulation refusee","Regle metier - Annulation RDV (limite 24h)","2026-04-29","passed","2026-04-29","","","",""
"","431","[FILE-002] Agent appelle le suivant → le ticket passe en statut ""appele""","[FILE] Gestion de la file d'attente — invariants métier","2026-04-29","passed","2026-04-29","","","",""
"","227","❌ Sans authentification → 401","POST /api/etablissements/:id/signaler — Signalement citoyen","2026-04-29","passed","2026-04-29","","","",""
"","263","❌ Citoyen ne peut pas suspendre → 403","PUT /api/etablissements/:id/suspendre — Suspension","2026-04-29","passed","2026-04-29","","","",""
"","312","FAIL - Citoyen ne peut pas lister - 403","GET /api/agents - Lister mes agents","2026-04-29","passed","2026-04-29","","","",""
"","","✅ Email de rejet envoyé","PUT /api/etablissements/:id/rejeter — Rejet","2026-04-29","skipped","","","","",""
"","389","FAIL - Admin etablissement ne peut pas voir stats plateforme - 403","GET /api/stats/plateforme/dashboard - Dashboard super admin","2026-04-29","passed","2026-04-29","","","",""
"","","✅ Super admin approuve un établissement en_attente → statut actif","PUT /api/etablissements/:id/valider — Approbation","2026-04-29","skipped","","","","",""
"","","FAIL - Service appartenant a un autre etablissement - 404","PUT /api/services/:id - Modifier service","2026-04-29","skipped","","","","",""
"","1","OK - Tous les roles autorises passent","Middleware verifierRole","2026-04-29","passed","2026-04-29","","","",""
"","310","FAIL - Sans token - 401","POST /api/agents - Creer agent","2026-04-29","passed","2026-04-29","","","",""
"","347","OK - Citoyen recoit uniquement ses notifications - 200","GET /api/notifications - Mes notifications","2026-04-29","passed","2026-04-29","","","",""
"","309","❌ Email non vérifié → 403 + code EMAIL_NOT_VERIFIED","POST /api/auth/login","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — premier du mois avec zéro padding","[CRITIQUE] Formatage date locale (anti-timezone bug)","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Citoyen ne peut pas voir le dashboard - 403","GET /api/stats/etablissement/:id/dashboard - Dashboard admin","2026-04-29","skipped","","","","",""
"","482","[UI-ETAB-001] Page etablissements accessible sans connexion","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Recherche etablissements (page publique)","ui\etablissement.ui.spec.js","",""
"","","✅ Code correct → email vérifié + token retourné","POST /api/auth/verify-email","2026-04-29","skipped","","","","",""
"","350","FAIL - Liste creneaux vide - 400","POST /api/rendezvous - Reserver un RDV","2026-04-29","passed","2026-04-29","","","",""
"","","[FILE-005] Un citoyen ne peut pas prendre deux tickets actifs pour le même service","[FILE] Gestion de la file d'attente — invariants métier","2026-04-29","skipped","","","","",""
"","","FAIL - Sans token - 401","POST /api/rendezvous - Reserver un RDV","2026-04-29","skipped","","","","",""
"","598","✅ [UI-AUTH-011] Page d'accueil chargée avec succès","UI Chrome","2026-04-29","passed","2026-04-29","UI — Page d'accueil publique","ui\auth.ui.spec.js","",""
"","329","OK - Creneau passe en statut occupe apres reservation","POST /api/rendezvous - Reserver un RDV","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Creneau deja pris - 400","POST /api/rendezvous - Reserver un RDV","2026-04-29","skipped","","","","",""
"","","FAIL - Sans token - 401","GET /api/stats/etablissement/:id - Stats detaillees","2026-04-29","skipped","","","","",""
"","1","OK — mobile 5x (Ooredoo/Orange)","[CRITIQUE] Validation numéro téléphone tunisien","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — 75 min → ""1h15""","[CRITIQUE] Formatage durée créneau","2026-04-29","passed","2026-04-29","","","",""
"","766","✅ [UI-AUTH-002] Formulaire inscription step 1 remplissable","UI Chrome","2026-04-29","passed","2026-04-29","UI — Inscription citoyen","ui\auth.ui.spec.js","",""
"","","FAIL - Sans authentification - 401","POST /api/tickets - Prise de ticket","2026-04-29","skipped","","","","",""
"","4","❌ Sans authentification → 401","PUT /api/auth/change-password","2026-04-29","passed","2026-04-29","","","",""
"","99","❌ Email déjà utilisé → 400","POST /api/auth/signup/citoyen","2026-04-29","passed","2026-04-29","","","",""
"","","[CONFIG-002] Créneau occupé préservé lors d'une reconfiguration","[CONFIG] Reconfiguration des créneaux RDV — cohérence du système","2026-04-29","skipped","","","","",""
"","829","[UI-TKT-008] Pas de crash JavaScript sur pages ticket","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Affichage file d attente (ecran public)","ui\ticket.ui.spec.js","",""
"","","FAIL - Agent inexistant - 404","PUT /api/agents/:id/assigner-service - Assigner service","2026-04-29","skipped","","","","",""
"","0","FAIL — numéro invalide (trop court) → null","[CRITIQUE] Formatage numéro WhatsApp tunisien","2026-04-29","passed","2026-04-29","","","",""
"","179","FAIL - Sans token - 401","POST /api/services - Creer service","2026-04-29","passed","2026-04-29","","","",""
"","450","✅ Liste publique retourne uniquement les établissements actifs","GET /api/etablissements — Liste publique","2026-04-29","passed","2026-04-29","","","",""
"","209","OK - Etablissement inexistant retourne liste vide","GET /api/services/etablissement/:id - Liste publique","2026-04-29","passed","2026-04-29","","","",""
"","","✅ Citoyen signale un établissement → 200","POST /api/etablissements/:id/signaler — Signalement citoyen","2026-04-29","skipped","","","","",""
"","0","FAIL — commence par 0 (invalide)","[CRITIQUE] Validation numéro téléphone tunisien","2026-04-29","passed","2026-04-29","","","",""
"","828","[UI-RDV-008] Pas de crash JS sur pages RDV","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Navigation et liens RDV","ui\rendezvous.ui.spec.js","",""
"","","❌ Mauvais mot de passe → 401","POST /api/auth/login","2026-04-29","skipped","","","","",""
"","","❌ Citoyen ne peut pas accéder aux demandes en attente → 403","GET /api/etablissements/en-attente — Super Admin","2026-04-29","skipped","","","","",""
"","","[FILE-001] Prise de ticket → position dans la file correcte","[FILE] Gestion de la file d'attente — invariants métier","2026-04-29","skipped","","","","",""
"","1","OK — 60 min → ""1h"" (heure ronde)","[CRITIQUE] Formatage durée créneau","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — créneaux consécutifs (fin du précédent = début du suivant)","[CRITIQUE] Continuité et non-chevauchement des créneaux","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL - Agent essaie une route super_admin - 403","Middleware verifierRole","2026-04-29","passed","2026-04-29","","","",""
"","384","OK - Citoyen voit ses RDV confirmes - 200","GET /api/rendezvous/mes-rdv - Mes rendez-vous","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL — créneau A inclus dans créneau B","[CRITIQUE] Détection chevauchement de créneaux","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Citoyen voit ses RDV confirmes - 200","GET /api/rendezvous/mes-rdv - Mes rendez-vous","2026-04-29","skipped","","","","",""
"","207","FAIL - Sans token - 401","PUT /api/notifications/tout-lire - Marquer toutes comme lues","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — mot de passe long → valide","[CRITIQUE] Validation mot de passe","2026-04-29","passed","2026-04-29","","","",""
"","3648","✅ [IHM-019] Admin crée service → apparaît immédiatement dans la liste","UI Chrome","2026-04-29","passed","2026-04-29","[ADMIN] Gestion services","ui\critical-journeys.ui.spec.js","",""
"","467","[UI-DASH-015] Viewport tablet fonctionne sur page login","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Performance et robustesse","ui\dashboard.ui.spec.js","",""
"","1","OK - RDV dans 23.5h - dans la fenetre 24h","Regle metier - Fenetres de rappel automatique","2026-04-29","passed","2026-04-29","","Rappel 24h (fenetre 23h-24h)","",""
"","","✅ Alerte super admin déclenchée à 5 signalements","POST /api/etablissements/:id/signaler — Signalement citoyen","2026-04-29","skipped","","","","",""
"","487","OK - Citoyen reserve un RDV sur creneau libre - 201","POST /api/rendezvous - Reserver un RDV","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Sans authentification - 401","POST /api/tickets/agent/appeler - Agent appelle le prochain ticket","2026-04-29","skipped","","","","",""
"","0","OK — file triée par numéro croissant (FIFO)","[CRITIQUE] Tri file d'attente FIFO (ordre des tickets)","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - serviceId manquant - 400","GET /api/rendezvous/creneaux - Creneaux disponibles","2026-04-29","skipped","","","","",""
"","1","FAIL — 9 chiffres (trop long)","[CRITIQUE] Validation numéro téléphone tunisien","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Sans token - 401","POST /api/services - Creer service","2026-04-29","skipped","","","","",""
"","1","OK — mot de passe 6 caractères → valide","[CRITIQUE] Validation mot de passe","2026-04-29","passed","2026-04-29","","","",""
"","1268","[UI-DASH-018] Pas de crash JavaScript sur page detail etablissement superadmin","UI Chrome","2026-04-29","passed","2026-04-29","IHM — SuperAdmin Detail Etablissement","ui\dashboard.ui.spec.js","",""
"","276","FAIL - Service appartenant a un autre etablissement - 404","PUT /api/services/:id - Modifier service","2026-04-29","passed","2026-04-29","","","",""
"","326","OK - Admin voit les stats detaillees de son etablissement - 200","GET /api/stats/etablissement/:id - Stats detaillees","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — lundi est ouvrable","[CRITIQUE] Vérification jour ouvrable (config service)","2026-04-29","passed","2026-04-29","","","",""
"","3607","✅ [IHM-017] Rejet établissement → bouton Rejeter disabled si raison vide","UI Chrome","2026-04-29","passed","2026-04-29","[SUPERADMIN] Validation établissements","ui\critical-journeys.ui.spec.js","",""
"","858","[UI-RDV-006] Page confirmation RDV accessible","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Formulaire reservation RDV","ui\rendezvous.ui.spec.js","",""
"","230","FAIL - Citoyen ne peut pas acceder - 403","GET /api/services/me/services - Mes services (admin)","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL - 5 signalements mais alerte deja envoyee - pas de doublon","Regle metier - Seuil alerte signalements (5 reports)","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL — 7 chiffres seulement (trop court)","[CRITIQUE] Validation numéro téléphone tunisien","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Service actif devient inactif apres toggle","PATCH /api/services/:id/toggle - Activer/Desactiver","2026-04-29","skipped","","","","",""
"","1","OK — samedi actif si config l'inclut (service 6j/7)","[CRITIQUE] Vérification jour ouvrable (config service)","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL - RDV dans 25h - hors fenetre 24h","Regle metier - Fenetres de rappel automatique","2026-04-29","passed","2026-04-29","","Rappel 24h (fenetre 23h-24h)","",""
"","555","✅ [UI-AUTH-007] Lien ""S'inscrire"" visible sur la page de connexion","UI Chrome","2026-04-29","passed","2026-04-29","UI — Connexion","ui\auth.ui.spec.js","",""
"","3625","✅ [IHM-007] Ticket actif existant → 2ème ticket bloqué ""déjà un ticket actif""","UI Chrome","2026-04-29","passed","2026-04-29","[ANTI-SPAM] Limites métier tickets — confirmées backend","ui\critical-journeys.ui.spec.js","",""
"","206","OK - Admin supprime son service - 200","DELETE /api/services/:id - Supprimer service","2026-04-29","passed","2026-04-29","","","",""
"","456","[SYNC-005] Annulation RDV citoyen → créneau redevient libre","[SYNC-RDV] Agent réserve par téléphone → créneau bloqué sur le web","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — 0 personnes avant → 0 min (prochain)","[CRITIQUE] Calcul temps d'attente estimé","2026-04-29","passed","2026-04-29","","","",""
"","212","OK - Toutes les notifications marquees lues - non_lues = 0","PUT /api/notifications/tout-lire - Marquer toutes comme lues","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Admin voit les stats detaillees de son etablissement - 200","GET /api/stats/etablissement/:id - Stats detaillees","2026-04-29","skipped","","","","",""
"","1","FAIL - RDV dans 1h - annulation refusee","Regle metier - Annulation RDV (limite 24h)","2026-04-29","passed","2026-04-29","","","",""
"","283","[EXC-002] Exception ne crée pas de RDV orphelins — les RDV confirmés restent","[EXCEPTION] Fermeture exceptionnelle — gestion des RDV impactés","2026-04-29","passed","2026-04-29","","","",""
"","2","FAIL - Emails invalides rejetes","Validation format email","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL — samedi non ouvrable (week-end)","[CRITIQUE] Vérification jour ouvrable (config service)","2026-04-29","passed","2026-04-29","","","",""
"","","❌ Citoyen ne peut pas approuver → 403","PUT /api/etablissements/:id/valider — Approbation","2026-04-29","skipped","","","","",""
"","0","OK — 1 personne avant → temps = durée 1 ticket","[CRITIQUE] Calcul temps d'attente estimé","2026-04-29","passed","2026-04-29","","","",""
"","316","✅ Super admin voit les demandes en attente","GET /api/etablissements/en-attente — Super Admin","2026-04-29","passed","2026-04-29","","","",""
"","309","OK - Citoyen voit les details de son RDV - 200","GET /api/rendezvous/:id - Details RDV","2026-04-29","passed","2026-04-29","","","",""
"","1223","[UI-DASH-005] /superadmin/dashboard non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Dashboard Super Admin (acces non autorise)","ui\dashboard.ui.spec.js","",""
"","225","OK - Notification non lue devient lue - 200","PUT /api/notifications/:id/lire - Marquer comme lue","2026-04-29","passed","2026-04-29","","","",""
"","","[FILE-006] Annulation ticket citoyen → ticket retiré de la file","[FILE] Gestion de la file d'attente — invariants métier","2026-04-29","skipped","","","","",""
"","1322","[UI-ETAB-006] Navigation vers page etablissements depuis accueil","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Page d accueil et navigation","ui\etablissement.ui.spec.js","",""
"","824","[UI-TKT-005] Page suivi ticket avec ID inexistant gere proprement","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Suivi ticket (affichage public)","ui\ticket.ui.spec.js","",""
"","","FAIL - Service inexistant - 404","GET /api/services/:id - Details service","2026-04-29","skipped","","","","",""
"","","OK - Admin assigne un service a un agent - 200","PUT /api/agents/:id/assigner-service - Assigner service","2026-04-29","skipped","","","","",""
"","","OK - Admin cree un agent - 201 + invitation email envoye","POST /api/agents - Creer agent","2026-04-29","skipped","","","","",""
"","2","FAIL — créneaux identiques (double réservation exacte)","[CRITIQUE] Détection chevauchement de créneaux","2026-04-29","passed","2026-04-29","","","",""
"","1","OK — 10 personnes, 10 min/ticket → 100 min","[CRITIQUE] Calcul temps d'attente estimé","2026-04-29","passed","2026-04-29","","","",""
"","0","OK — vendredi est ouvrable","[CRITIQUE] Vérification jour ouvrable (config service)","2026-04-29","passed","2026-04-29","","","",""
"","","✅ Rejet avec motif → statut = rejete + motif sauvegardé","PUT /api/etablissements/:id/rejeter — Rejet","2026-04-29","skipped","","","","",""
"","","❌ Compte en attente (admin etablissement) → 403","POST /api/auth/login","2026-04-29","skipped","","","","",""
"","298","✅ Filtre par type fonctionne","GET /api/etablissements — Liste publique","2026-04-29","passed","2026-04-29","","","",""
"","269","✅ Établissement actif suspendu → statut = suspendu","PUT /api/etablissements/:id/suspendre — Suspension","2026-04-29","passed","2026-04-29","","","",""
"","817","[UI-ETAB-010] Tentative acces dashboard citoyen non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — File d attente (vue citoyen)","ui\etablissement.ui.spec.js","",""
"","287","OK - Citoyen annule son RDV - statut = annule + creneau redevient libre","DELETE /api/rendezvous/:id - Annuler RDV","2026-04-29","passed","2026-04-29","","","",""
"","421","OK - Autre citoyen ne voit pas les RDV du premier - isolation","GET /api/rendezvous/mes-rdv - Mes rendez-vous","2026-04-29","passed","2026-04-29","","","",""
"","3","OK — config 7j/7 → samedi génère des créneaux","[CRITIQUE] Génération créneaux — exclusion jours non actifs","2026-04-29","passed","2026-04-29","","","",""
"","3774","✅ [IHM-003] Citoyen annule RDV (anytime) → créneau RÉAPPARAÎT + liste mise à jour","UI Chrome","2026-04-29","passed","2026-04-29","[SYNC] Synchronisation créneaux agent ↔ web citoyen","ui\critical-journeys.ui.spec.js","",""
"","","❌ Email inexistant → 401","POST /api/auth/login","2026-04-29","skipped","","","","",""
"","","[SYNC-002] Agent crée un RDV manuel → POST /api/rendezvous/agent/rdv-manuel","[SYNC-RDV] Agent réserve par téléphone → créneau bloqué sur le web","2026-04-29","skipped","","","","",""
"","827","[UI-RDV-001] Page reservation RDV non connecte → redirection login","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Rendez-vous — acces et protection","ui\rendezvous.ui.spec.js","",""
"","1","OK — mobile 2x (Tunisie Telecom)","[CRITIQUE] Validation numéro téléphone tunisien","2026-04-29","passed","2026-04-29","","","",""
"","0","OK — RDV dans 48h → annulation autorisée, pas de message","[CRITIQUE] Règle annulation RDV — message retourné au citoyen","2026-04-29","passed","2026-04-29","","","",""
"","820","[UI-DASH-009] /citoyen/mes-rdv non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Dashboard Citoyen (acces non autorise)","ui\dashboard.ui.spec.js","",""
"","821","[UI-DASH-008] /citoyen/dashboard non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Dashboard Citoyen (acces non autorise)","ui\dashboard.ui.spec.js","",""
"","227","FAIL - Sans token - 401","PUT /api/notifications/:id/lire - Marquer comme lue","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Email deja utilise - 400","POST /api/agents - Creer agent","2026-04-29","skipped","","","","",""
"","","FAIL - Sans token - 401","DELETE /api/notifications/:id - Supprimer notification","2026-04-29","skipped","","","","",""
"","1","OK - RDV dans 48h - annulation autorisee","Regle metier - Annulation RDV (limite 24h)","2026-04-29","passed","2026-04-29","","","",""
"","416","OK - Agent cree avec service et guichet assigne","POST /api/agents - Creer agent","2026-04-29","passed","2026-04-29","","","",""
"","1","FAIL — RDV passé → refusé avec message ""déjà passé""","[CRITIQUE] Règle annulation RDV — message retourné au citoyen","2026-04-29","passed","2026-04-29","","","",""
"","346","FAIL - Sans token - 401","GET /api/agents - Lister mes agents","2026-04-29","passed","2026-04-29","","","",""
"","0","FAIL — dimanche non actif → 0 créneau généré","[CRITIQUE] Génération créneaux — exclusion jours non actifs","2026-04-29","passed","2026-04-29","","","",""
"","","OK - Super admin voit les stats plateforme - 200","GET /api/stats/plateforme/dashboard - Dashboard super admin","2026-04-29","skipped","","","","",""
"","1230","[UI-DASH-006] /superadmin/establishments non connecte → redirection","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Dashboard Super Admin (acces non autorise)","ui\dashboard.ui.spec.js","",""
"","295","OK - Admin supprime son agent - 200","DELETE /api/agents/:id - Supprimer agent","2026-04-29","passed","2026-04-29","","","",""
"","322","OK - Ticket marque absent - statut = no_show","PUT /api/tickets/agent/:id/absent - Ticket no-show","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Service inexistant - 404","DELETE /api/services/:id - Supprimer service","2026-04-29","skipped","","","","",""
"","839","[UI-DASH-012] Formulaire inscription etab contient champs nom et email","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Inscription etablissement","ui\dashboard.ui.spec.js","",""
"","1","FAIL — heure début = heure fin → 0 créneaux","[CRITIQUE] Génération créneaux horaires","2026-04-29","passed","2026-04-29","","","",""
"","358","FAIL - Sans token - 401","GET /api/stats/etablissement/:id/dashboard - Dashboard admin","2026-04-29","passed","2026-04-29","","","",""
"","0","OK - 08h00-13h00, 30min, sans pause - 10 creneaux","Calcul nombre de creneaux attendus par jour","2026-04-29","passed","2026-04-29","","","",""
"","","FAIL - Admin etablissement ne peut pas voir stats plateforme - 403","GET /api/stats/plateforme/dashboard - Dashboard super admin","2026-04-29","skipped","","","","",""
"","554","[UI-DASH-013] Page login charge en moins de 5 secondes","UI Chrome","2026-04-29","passed","2026-04-29","IHM — Performance et robustesse","ui\dashboard.ui.spec.js","",""
